fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2021-01-10,5337,1418,4345,1209,0.26569233651864343,0.2782508630609896
2021-01-11,19949,5460,17094,4768,0.273697929720788,0.27892827892827893
2021-01-12,22128,6227,18935,5355,0.2814081706435286,0.2828096118299446
2021-01-13,21971,5779,18785,4989,0.2630285376177689,0.2655842427468725
2021-01-14,27163,7709,23450,6852,0.28380517615874534,0.2921961620469083
2021-01-15,24780,7176,21538,6331,0.28958837772397095,0.2939455845482403
2021-01-16,10283,3031,9037,2728,0.29475833900612664,0.3018700896315149
2021-01-17,8335,2395,7113,2105,0.28734253149370126,0.2959370167299311
2021-01-18,24704,7319,21447,6319,0.29626781088082904,0.2946332820441087
2021-01-19,26867,7346,23114,6352,0.27342092529869355,0.2748118023708575
2021-01-20,26151,7374,22611,6428,0.2819777446369164,0.2842864092698244
2021-01-21,26532,6613,22675,5718,0.24924619327604403,0.25217199558985665
2021-01-22,25239,5827,21478,4969,0.23087285550140654,0.2313530123847658
2021-01-23,9137,2297,7735,1989,0.25139542519426505,0.2571428571428571
2021-01-24,7161,1683,6097,1502,0.2350230414746544,0.24635066426111202
2021-01-25,23894,5660,20472,4818,0.2368795513518038,0.23534583821805394
2021-01-26,23637,4909,20231,4290,0.20768287007657485,0.21205081310859572
2021-01-27,26720,5571,23077,4903,0.20849550898203592,0.21246262512458292
2021-01-28,24345,5014,20865,4361,0.2059560484699117,0.20901030433740714
2021-01-29,21829,4259,18893,3655,0.19510742590132393,0.19345789445826497
2021-01-30,8486,1408,7139,1200,0.16592033938251238,0.16809076901526823
2021-01-31,6048,1007,5101,858,0.16650132275132276,0.16820231327190746
2021-02-01,5306,1055,4570,897,0.19883151149641914,0.1962800875273523
2021-02-02,20790,4232,18098,3674,0.20355940355940355,0.20300585700077356
2021-02-03,23114,4021,19979,3433,0.1739638314441464,0.17183042194304018
2021-02-04,19790,3375,16926,2937,0.17054067710965135,0.17352002835873803
2021-02-05,19472,3202,16970,2854,0.16444124897288415,0.1681791396582204
2021-02-06,6493,1070,5623,914,0.16479285384259973,0.16254668326516095
2021-02-07,4568,663,3959,565,0.14514010507880912,0.14271280626420813
2021-02-08,18842,3400,16282,2956,0.1804479354633266,0.1815501781107972
2021-02-09,20019,3400,17217,2892,0.16983865327938458,0.1679735145495731
2021-02-10,19541,3161,16643,2677,0.1617624481858656,0.1608484047347233
2021-02-11,17738,2673,15010,2252,0.15069342654188747,0.15003331112591606
2021-02-12,18154,2797,15587,2462,0.15407072821416767,0.15795213960351576
2021-02-13,5585,960,4892,825,0.1718889883616831,0.1686426819296811
2021-02-14,3757,479,3344,426,0.127495342028214,0.12739234449760767
2021-02-15,18214,2840,15646,2470,0.155924014494345,0.1578678256423367
2021-02-16,17270,2630,15033,2304,0.15228720324261724,0.15326282179205747
2021-02-17,17280,2529,14793,2208,0.14635416666666667,0.14925978503346177
2021-02-18,16873,2275,14349,1976,0.13483079476086055,0.13770994494389852
2021-02-19,15772,2358,13733,2079,0.14950545270098908,0.15138716959149495
2021-02-20,5232,831,4460,704,0.1588302752293578,0.15784753363228698
2021-02-21,3578,485,3008,419,0.13555058692006708,0.13929521276595744
2021-02-22,17160,2750,14800,2378,0.16025641025641027,0.16067567567567567
2021-02-23,16760,2553,14399,2274,0.152326968973747,0.15792763386346273
2021-02-24,16145,2346,13833,2088,0.14530814493651284,0.1509433962264151
2021-02-25,14796,2205,12578,1964,0.14902676399026765,0.1561456511369057
2021-02-26,15072,2063,12896,1810,0.13687632696390659,0.14035359801488834
2021-02-27,4929,777,4084,683,0.15763846622032868,0.16723800195886385
2021-02-28,4097,509,3444,444,0.12423724676592629,0.1289198606271777
2021-03-01,16496,2667,13898,2311,0.16167555771096023,0.16628291840552598
2021-03-02,14873,2179,12692,1891,0.146507093390708,0.14899149070280493
2021-03-03,15958,2334,13522,2046,0.1462589296904374,0.15130897796183995
2021-03-04,13387,2055,11426,1833,0.1535071337865093,0.1604235953089445
2021-03-05,11542,1796,9819,1597,0.15560561427828798,0.162643853752928
2021-03-06,5646,718,4664,643,0.1271696776478923,0.13786449399656947
2021-03-07,3999,506,3282,423,0.12653163290822705,0.12888482632541134
2021-03-08,14759,2386,12813,2054,0.1616640693813944,0.16030593928041834
2021-03-09,13649,2020,11997,1778,0.14799619019708404,0.14820371759606568
2021-03-10,12273,1759,10421,1553,0.14332274097612646,0.14902600518184436
2021-03-11,12095,1684,10341,1491,0.1392310872261265,0.14418334783870032
2021-03-12,12152,1626,10395,1447,0.1338051349572087,0.13920153920153922
2021-03-13,3900,574,3325,508,0.14717948717948717,0.15278195488721805
2021-03-14,2096,319,1790,276,0.15219465648854963,0.15418994413407822
2021-03-15,2638,354,2299,318,0.13419257012888552,0.13832100913440626
2021-03-16,13734,2014,11851,1770,0.14664336682685306,0.14935448485359884
2021-03-17,13035,1683,11244,1474,0.1291139240506329,0.1310921380291711
2021-03-18,12103,1480,10419,1319,0.1222837313062877,0.12659564257606296
2021-03-19,10896,1233,9315,1092,0.11316079295154186,0.11723027375201288
2021-03-20,3419,508,2897,408,0.14858145656624744,0.14083534691059718
2021-03-21,2394,319,2109,269,0.13324979114452798,0.12754860123281175
2021-03-22,14096,1679,12088,1473,0.11911180476730987,0.12185638649900728
2021-03-23,11896,1535,10134,1381,0.12903496973772696,0.1362739293467535
2021-03-24,12306,1294,10388,1124,0.10515195839427921,0.10820177127454755
2021-03-25,10925,1149,9395,1028,0.10517162471395881,0.10941990420436402
2021-03-26,9147,1086,7745,976,0.11872745162348311,0.12601678502259522
2021-03-27,3799,438,3213,375,0.11529349828902342,0.11671335200746966
2021-03-28,2038,253,1736,226,0.12414131501472031,0.13018433179723501
2021-03-29,11209,1363,9669,1160,0.121598715318048,0.11997104147274795
2021-03-30,11567,1235,9955,1083,0.1067692573701046,0.10878955298844802
2021-03-31,9625,1182,8338,1032,0.1228051948051948,0.12377068841448789
2021-04-01,8664,700,7400,604,0.08079409048938135,0.08162162162162162
2021-04-02,5830,560,4924,480,0.09605488850771869,0.09748172217709179
2021-04-03,1504,217,1336,191,0.14428191489361702,0.14296407185628743
2021-04-04,1534,240,1320,189,0.15645371577574968,0.1431818181818182
2021-04-05,10076,1197,8584,1039,0.11879714172290591,0.12103914259086673
2021-04-06,9676,1203,8305,1052,0.1243282348077718,0.12667068031306442
2021-04-07,10149,1159,8738,1030,0.11419844319637402,0.11787594415197986
